11:26:58  [main] 	Initializing Control Panel
11:26:58  [main] 	Windows Version:  Enterprise  64-bit
11:26:58  [main] 	XAMPP Version: 7.2.31
11:26:58  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
11:26:58  [main] 	You are not running with administrator rights! This will work for
11:26:58  [main] 	most application stuff but whenever you do something with services
11:26:58  [main] 	there will be a security dialogue or things will break! So think 
11:26:58  [main] 	about running this application with administrator rights!
11:26:58  [main] 	XAMPP Installation Directory: "c:\xampp\"
11:26:58  [main] 	Checking for prerequisites
11:26:58  [main] 	All prerequisites found
11:26:58  [main] 	Initializing Modules
11:26:58  [main] 	Starting Check-Timer
11:26:58  [main] 	Control Panel Ready
12:59:58  [Apache] 	Attempting to start Apache app...
12:59:59  [Apache] 	Status change detected: running
13:00:03  [mysql] 	Attempting to start MySQL app...
13:00:04  [mysql] 	Status change detected: running
15:26:55  [main] 	Deinitializing Modules
15:26:55  [main] 	Deinitializing Control Panel

